[ 5.e+03 -1.e+00],[ 4.5e+03 -1.0e+00],[ 5.5e+03 -1.0e+00]
(-4.699973824416031e-15+4.721317479630905e-26j),(-7.37811094487884e-15+4.2540253236678474e-26j),(-7.378110944878917e-15+4.25562808868163e-26j)
(-4.497009410679189e-15+4.712983101559237e-26j),(-8.603280609476566e-15+4.256589747689899e-26j),(-8.603280609476618e-15+4.2540253236678474e-26j)
(-1.893814666880198e-14+4.664900151145766e-26j),(-1.1557028694644215e-14+4.2578719597009253e-26j),(-1.155702869464424e-14+4.26107748972849e-26j)
(-2.5011930725471752e-14+4.7149064195757755e-26j),(-1.4199692907030892e-14+4.2392798855410494e-26j),(-1.4199692907030892e-14+4.241844309563101e-26j)
(-4.6505873229196765e-14+4.6633434154722303e-26j),(-1.9625599999855582e-14+4.249623473547477e-26j),(-1.9625599999855428e-14+4.25035047147121e-26j)
(-4.3483721214832744e-14+4.7059309354985945e-26j),(-2.5792162845157145e-14+4.261718595734003e-26j),(-2.579216284515699e-14+4.2529148954932616e-26j)
(2.1602629231141232e-13+4.7149064195757755e-26j),(-3.719020022358133e-14+4.25466642967336e-26j),(-3.719020022358153e-14+4.2623597017395155e-26j)
(1.7452926043414944e-12+4.730567487370596e-26j),(-5.528878348093107e-14+4.259709385799244e-26j),(-5.5288783480931274e-14+4.26090570589205e-26j)
(4.6260371320234956e-12+4.71362420756475e-26j),(-9.231163102015242e-14+4.254345876670604e-26j),(-9.231163102015246e-14+4.258822111374133e-26j)
(3.2106704792321347e-12+4.708959904576523e-26j),(-1.5259640932411733e-13+4.254241572507934e-26j),(-1.525964093241173e-13+4.254528107348044e-26j)
(-5.264975373992362e-12+4.702095191170302e-26j),(-1.0261347108939837e-13+4.251556108857584e-26j),(-1.0261347108939845e-13+4.245923861215757e-26j)
(-8.198723429249554e-12+4.7201173850877487e-26j),(6.371395743005684e-13+4.253277176740891e-26j),(6.371395743005683e-13+4.254543334364609e-26j)
(-1.890133702092371e-12+4.7086169244033546e-26j),(2.0848954560761945e-12+4.256475970539459e-26j),(2.0848954560761945e-12+4.260895904090836e-26j)
(2.1981661363059695e-12+4.70998549448686e-26j),(1.6380349586711682e-12+4.267594492525069e-26j),(1.638034958671168e-12+4.264695191790102e-26j)
(1.7997481143931022e-12+4.702636947521791e-26j),(-1.4208377668737461e-12+4.25602530379403e-26j),(-1.4208377668737463e-12+4.2590299486488783e-26j)
(7.97996009113484e-13+4.706061940424507e-26j),(-2.5128439889257814e-12+4.260790061283969e-26j),(-2.5128439889257814e-12+4.259892808423848e-26j)
(3.612826586935039e-13+4.7050936418688103e-26j),(-8.96155585705938e-13+4.2494131759144704e-26j),(-8.961555857059381e-13+4.2510358080004815e-26j)
(1.9153146099959212e-13+4.707131044114355e-26j),(2.1290640786108168e-13+4.2470798899821333e-26j),(2.1290640786108156e-13+4.2545310126850924e-26j)
(1.2565498482361593e-13+4.703037345838542e-26j),(2.978891343242693e-13+4.2530166423381285e-26j),(2.978891343242692e-13+4.25207746144123e-26j)
(8.399278829136638e-14+4.725817609934651e-26j),(1.7093537059620205e-13+4.256282278545485e-26j),(1.7093537059620208e-13+4.2522440646437087e-26j)
(6.56028199340225e-14+4.7013086029239715e-26j),(9.818845360794304e-14+4.258378181823534e-26j),(9.818845360794304e-14+4.256530753105597e-26j)
